,retention_1,retention_2,retention_3
total_pop_change,0.19121019586626362,0.2385538469701148,0.2095116233137125
median_income_change,0.22450608148140963,0.20978138750650266,0.22202825282054553
median_home_val_change,0.2007179393162634,0.1849402714329508,0.19413366410267743
median_gross_rent_change,0.20542630780715482,0.18615420728834167,0.1934893630884532
edu_change,0.17813947552890858,0.18057028680208992,0.18083709667461148
